id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood
36,http://photos3.zillowstatic.com/p_f/IS5uaimc7q3a1j0000000000.jpg,640,Davis,St,UNIT 35,San Francisco,CA,94111,7000,2,37.79842,-122.39796,,1983,http://www.zillow.com/homedetails/640-Davis-St-UNIT-35-San-Francisco-CA-94111/15067225_zpid/,Financial District
39,http://photos2.zillowstatic.com/p_f/IStcpcqq3jcuzj0000000000.jpg,810,Hyde,Street,# FL 6TH,San Francisco,CA,94109,2195,Studio,37.78841,-122.4167,,3000,http://www.zillow.com/homedetails/810-Hyde-Street-FL-6TH-San-Francisco-CA-94109/2100845519_zpid/,Downtown
42,http://photos1.zillowstatic.com/p_f/ISd0l8lruigl1r0000000000.jpg,1086,Post,St,,San Francisco,CA,94109,2150,Studio,37.78691,-122.4196,,1917,http://www.zillow.com/homedetails/1086-Post-St-San-Francisco-CA-94109/2106990157_zpid/,Downtown
46,http://photos3.zillowstatic.com/p_f/ISxbnhhvapb6000000000000.jpg,1915,Bush,St,APT 7,San Francisco,CA,94115,3000,1,37.78729,-122.4291,,1960,http://www.zillow.com/homedetails/1915-Bush-St-APT-7-San-Francisco-CA-94115/2119096406_zpid/,Lower Pacific Heights
49,http://photos3.zillowstatic.com/p_f/IS5y9s4azloof41000000000.jpg,1960,Hayes,St,,San Francisco,CA,94117,4200,1,37.773893,-122.448692,,1989,http://www.zillow.com/homedetails/1960-Hayes-St-San-Francisco-CA-94117/2141761225_zpid/,North Panhandle
51,http://photos2.zillowstatic.com/p_f/ISdw52f1q1pzy61000000000.jpg,2,Tamalpais,Ter,,San Francisco,CA,94118,1795,Studio,37.7783,-122.449,,1936,http://www.zillow.com/homedetails/2-Tamalpais-Ter-San-Francisco-CA-94118/2106722118_zpid/,Lone Mountain
53,http://photos2.zillowstatic.com/p_f/ISt4b4gr1qm58p0000000000.jpg,425,Oak Park,Dr,,San Francisco,CA,94131,4695,3,37.754487,-122.460378,,1959,http://www.zillow.com/homedetails/425-Oak-Park-Dr-San-Francisco-CA-94131/15128869_zpid/,Forest Knolls
55,http://photos2.zillowstatic.com/p_f/IStcdfwbmaye7d0000000000.jpg,1926,Lake,St,,San Francisco,CA,94121,9495,6,37.7862,-122.480602,,1911,http://www.zillow.com/homedetails/1926-Lake-St-San-Francisco-CA-94121/15089116_zpid/,Lake
56,"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.725090,-122.437950/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",88,Townsend,St,,San Francisco,CA,94107,7000,1,37.781166,-122.390693,,2004,http://www.zillow.com/homedetails/88-Townsend-St-San-Francisco-CA-94107/80738291_zpid/,South Beach
60,http://photos3.zillowstatic.com/p_f/IShjefuyibmogr0000000000.jpg,209,Ashbury,St,,San Francisco,CA,94117,6000,2,37.77357,-122.4477,,1921,http://www.zillow.com/homedetails/209-Ashbury-St-San-Francisco-CA-94117/2101269163_zpid/,North Panhandle
