image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms
http://photos2.zillowstatic.com/p_g/IS1bp9dye73cv20000000000.jpg,1450,Cole,St,,San Francisco,CA,94117,4100,1
http://photos3.zillowstatic.com/p_g/IS9hjzsp1k75fr0000000000.jpg,370,Upper,Ter,,San Francisco,CA,94117,4250,2
http://photos1.zillowstatic.com/p_g/ISpl5sqajovrek1000000000.jpg,407,Washington,Blvd,# A,San Francisco,CA,94129,5745,4
http://photos1.zillowstatic.com/p_g/ISpt7jnei7p3ra1000000000.jpg,3070,San Bruno,Ave,,San Francisco,CA,94134,2200,1
http://photos2.zillowstatic.com/p_g/IS5y1i7ng0i4160000000000.jpg,270,Linden,St,APT 301,San Francisco,CA,94102,8000,3
http://photos1.zillowstatic.com/p_g/ISph62gsz54ysf0000000000.jpg,1200,Treat,Ave,,San Francisco,CA,94110,3495,1
http://photos2.zillowstatic.com/p_g/ISd4opjt3ignag1000000000.jpg,140,S Van Ness,Ave,UNIT 743,San Francisco,CA,94103,3100,1
http://photos3.zillowstatic.com/p_g/IS5azjw1gu66l70000000000.jpg,2477,California,St,,San Francisco,CA,94115,4800,1
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.751159,-122.436302/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",1800,23rd,Ave,APT 1,San Francisco,CA,94122,3200,2
http://photos3.zillowstatic.com/p_g/IStou0a6g7ayt20000000000.jpg,300,Berry,St,,San Francisco,CA,94158,3800,2
http://photos1.zillowstatic.com/p_g/ISxzht5idck0as0000000000.jpg,3664,19th,St,,San Francisco,CA,94110,5050,2
http://photos3.zillowstatic.com/p_g/IShr80dtd7i7y80000000000.jpg,1310,Fillmore,St,APT 505,San Francisco,CA,94115,4200,1
http://photos3.zillowstatic.com/p_g/IShbgnr4c6ew660000000000.jpg,701,Hampshire,St,APT 202,San Francisco,CA,94110,3300,1
http://photos3.zillowstatic.com/p_g/IShzei92fudd8h1000000000.jpg,496,7th,Ave,,San Francisco,CA,94118,3400,2
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.803779,-122.405311/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Kearny,St,,San Francisco,CA,94133,11000,3
http://photos1.zillowstatic.com/p_g/ISdcubvoju469s0000000000.jpg,175,Bluxome,St,UNIT 324,San Francisco,CA,94107,4000,2
"http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/37.742772,-122.482147/17?mapSize=150112,&key=AmdvKO2hNoyLePakiVzRBZiGPKCxV6MtwWneohoPfmXclTaRTzvT6_Ict5-PBHO6",,Carl,St,,San Francisco,CA,94117,3995,1
http://photos1.zillowstatic.com/p_g/IS9lqbmr0ct9jq0000000000.jpg,630,Alvarado,St,,San Francisco,CA,94114,2695,1
http://photos1.zillowstatic.com/p_g/ISlqawzjlsef9g0000000000.jpg,1,Bluxome,St,,San Francisco,CA,94107,4500,1
http://photos1.zillowstatic.com/p_g/ISl2c51cq3o0tc0000000000.jpg,102,Santa Marina,St,,San Francisco,CA,94110,6995,3
