id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood,crime_rate
145,http://photos3.zillowstatic.com/p_f/IShzei92fudd8h1000000000.jpg,496,7th,Ave,,San Francisco,CA,94118,3400,2,37.77922,-122.4652,96,3000,http://www.zillow.com/homedetails/496-7th-Ave-San-Francisco-CA-94118/2100623224_zpid/,Inner Richmond,B
147,http://photos1.zillowstatic.com/p_f/ISdcubvoju469s0000000000.jpg,175,Bluxome,St,UNIT 324,San Francisco,CA,94107,4000,2,37.774379,-122.399574,92,1998,http://www.zillow.com/homedetails/175-Bluxome-St-UNIT-324-San-Francisco-CA-94107/80740080_zpid/,South of Market,D
100,http://photos3.zillowstatic.com/p_f/ISl2c9ktflfcxv1000000000.jpg,3675,Fillmore,St,APT 102,San Francisco,CA,94123,4550,1,37.803903,-122.437408,93,1931,http://www.zillow.com/homedetails/3675-Fillmore-St-APT-102-San-Francisco-CA-94123/15070061_zpid/,Marina,B
152,http://photos2.zillowstatic.com/p_f/IShntdmc6llshv1000000000.jpg,142,Ellington,Ave,,San Francisco,CA,94112,4000,3,37.714709,-122.443907,90,1924,http://www.zillow.com/homedetails/142-Ellington-Ave-San-Francisco-CA-94112/15191674_zpid/,Outer Mission,B
154,http://photos3.zillowstatic.com/p_f/ISxv2jcrlxhl241000000000.jpg,254-256,Brighton,Ave,,San Francisco,CA,94112,4500,3,37.722858,-122.454814,84,1965,http://www.zillow.com/homedetails/254-256-Brighton-Ave-San-Francisco-CA-94112/15188045_zpid/,Ingleside,B
156,http://photos3.zillowstatic.com/p_f/IShfbu4howpvaq0000000000.jpg,33,Dalewood,Way,,San Francisco,CA,94127,4750,3,37.736963,-122.454622,41,1951,http://www.zillow.com/homedetails/33-Dalewood-Way-San-Francisco-CA-94127/15135915_zpid/,Sherwood Forest,A
159,http://photos3.zillowstatic.com/p_f/IStgk3n7cdv8os1000000000.jpg,946,S Van Ness,Ave,,San Francisco,CA,94110,8250,3,37.758022,-122.41719,97,1910,http://www.zillow.com/homedetails/946-S-Van-Ness-Ave-San-Francisco-CA-94110/96013131_zpid/,Mission,C
160,http://photos1.zillowstatic.com/p_f/ISxb3q2uveow8e0000000000.jpg,788,Minna,St,UNIT 501,San Francisco,CA,94103,3650,1,37.77604,-122.414,95,2011,http://www.zillow.com/homedetails/788-Minna-St-UNIT-501-San-Francisco-CA-94103/2100784924_zpid/,South of Market,C
162,http://photos2.zillowstatic.com/p_f/IS1fs68wmbt7t41000000000.jpg,1057,Valencia,St,,San Francisco,CA,94110,3200,Studio,37.756026,-122.420675,99,1880,http://www.zillow.com/homedetails/1057-Valencia-St-San-Francisco-CA-94110/15145936_zpid/,Mission,C
169,http://photos1.zillowstatic.com/p_f/ISl2g08pi0xghx1000000000.jpg,50,Lansing,St,UNIT 305,San Francisco,CA,94105,4400,2,37.786148,-122.394291,90,2006,http://www.zillow.com/homedetails/50-Lansing-St-UNIT-305-San-Francisco-CA-94105/79845036_zpid/,South Beach,A
171,http://photos2.zillowstatic.com/p_f/ISh7dqcfxwt34q0000000000.jpg,2656,Van Ness,Ave,,San Francisco,CA,94109,2995,Studio,37.80021,-122.4239,97,3000,http://www.zillow.com/homedetails/2656-Van-Ness-Ave-San-Francisco-CA-94109/2105693780_zpid/,Russian Hill,B
173,http://photos2.zillowstatic.com/p_f/IShn1orpuk0qkn0000000000.jpg,1234,26th,Ave,,San Francisco,CA,94122,5800,4,37.764418,-122.484381,86,1926,http://www.zillow.com/homedetails/1234-26th-Ave-San-Francisco-CA-94122/15101784_zpid/,Central Sunset,A
175,http://photos3.zillowstatic.com/p_f/IS9p1frfrscirb0000000000.jpg,199,New Montgomery,St,,San Francisco,CA,94105,3495,Studio,37.786606,-122.399099,95,2004,http://www.zillow.com/homedetails/199-New-Montgomery-St-UNIT-904-San-Francisco-CA-94105/80737175_zpid/,Yerba Buena,B
177,http://photos1.zillowstatic.com/p_f/IS9l6s91q2m62g1000000000.jpg,175,27th,Ave,,San Francisco,CA,94121,9995,5,37.786175,-122.487653,81,1912,http://www.zillow.com/homedetails/175-27th-Ave-San-Francisco-CA-94121/15088870_zpid/,Sea Cliff,A
178,http://photos3.zillowstatic.com/p_f/ISt863vnwww3pi1000000000.jpg,127,Crescent,Ave,# COTTAGE,San Francisco,CA,94110,3100,2,37.73537,-122.422,79,3000,http://www.zillow.com/homedetails/127-Crescent-Ave-COTTAGE-San-Francisco-CA-94110/2100809393_zpid/,Bernal Heights,B
